Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Único dueño,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Honda Fit 1.5 Ex-l Mt 120cv,Ubicación no encontrada,Honda,Fit,2014,1.5 Ex-l Mt 120cv,Blanco,Nafta,5,Manual,1.5,Hatchback,131000,,,,Eléctrica,Delantera,5.0,120.0,94333.33
Audi S3 2.0 Tfsi Stronic Quattro 300cv,Ubicación no encontrada,Audi,S3,2019,2.0 Tfsi Stronic Quattro 300cv,,Nafta,5,Automática secuencial,2.0,Hatchback,13300,,,,assisted,Integral,5.0,180.0,64000.0
Nissan Frontier 2.3T Platinum 4X4 At L22,Ubicación no encontrada,Nissan,Frontier,2023,2.3T Platinum 4X4 At L22,Gris,Diésel,4,Automática,2.3,Pick-Up,8000,,,,Hidráulica,4x4,5.0,190.0,36000.0
BMW X5 3.0 Xdrive 35i Executive 306cv,Ubicación no encontrada,BMW,X5,2016,3.0 Xdrive 35i Executive 306cv,Plateado,Nafta,5,Automática,3.0,SUV,89000,,,,Asistida,4x4,7.0,306.0,59000.0
BMW X5 3.0 Xdrive 40i Xline,Ubicación no encontrada,BMW,X5,2019,3.0 Xdrive 40i Xline,Gris,Nafta,5,Automática,3.0,SUV,17500,,,,Asistida,4x4,5.0,306.0,132500.0
Bmw M3 431cv At 2016 Blindaje Rb3 Autopremium,Ubicación no encontrada,BMW,Serie 3,2016,M3,Blanco,Nafta,5,Automática,3.0,Sedán,29000,,,,Eléctrica,,,,96900.0
Hyundai Staria Ultimate,Ubicación no encontrada,Hyundai,Staria,2023,Ultimate,Azul,Diésel,5,,,,2300,,,,,,,,60000.0
Mercedes-Benz Clase A 1.6 A45 S 4matic 421 Cv,Ubicación no encontrada,,Clase A,2022,1.6 A45 S 4matic 421 Cv,,Nafta,5,Automática,1.6,Hatchback,16500,,,,Asistida,Integral,5.0,421.0,155000.0
Lexus NX 350 Sport,Capital Federal,Lexus,NX,2023,350 Sport,,Nafta,5,,,,8000,,,,,,,,90000.0
Dodge Ram 2500,Ubicación no encontrada,Dodge,Ram,2020,2500,,Diésel,5,,,Pick-Up,19000,,,,Hidráulica,,,,86000.0
Toyota Hiace 2.8 Tdi Wagon 6at 10a,Ubicación no encontrada,Toyota,Hiace,2023,2.8 Tdi Wagon 6at 10a,Negro,Diésel,4,Automática,2.8,,7000,,,,,Delantera,10.0,177.0,58990.0
Ford F-150 Raptor 3.5l Bi-turbo,Buenos Aires Interior,Ford,,2020,3.5l Bi-turbo,,Nafta,4,Automática,3.5,Pick-Up,52000,,,,Eléctrica,4x4,5.0,456.0,82000.0
Alfa Romeo Stelvio 2.0 280cv At Q4 Veloce,Ubicación no encontrada,Alfa Romeo,Stelvio,2022,2.0 280cv At Q4 Veloce,,Nafta,5,Automática,2.0,SUV,4300,,,,Eléctrica,4x4,5.0,280.0,88000.0
Mercedes-Benz Clase C 4.0 Amg S 510cv,Ubicación no encontrada,,Clase C,2017,4.0 Amg S 510cv,Negro,Nafta,3,Automática,4.0,Hatchback,15000,,,,Eléctrica,Delantera,5.0,510.0,126000.0
Dodge 1500 1500 Laramie,Entre Ríos,Dodge,1500,2022,,,Nafta,4,,,,9500,,,,,,,,60000.0
Mercedes-Benz Clase A 1.6 A35 4matic 306 Cv 5 p,Ubicación no encontrada,,Clase A,2020,1.6 A35 4matic 306 Cv 5 p,,Nafta,5,Automática,1.6,Hatchback,49000,,,,Asistida,Integral,5.0,306.0,79900.0
Toyota SW4 2.8 Srx 204Cv 4X4 7As At,Ubicación no encontrada,Toyota,SW4,2024,2.8 Srx 204Cv 4X4 7As At,Plateado,Diésel,5,Automática,2.8,SUV,1000,,,,,4x4,7.0,204.0,43666.67
BMW X6 3.0 Xdrive 35i Pure Extravagance,Córdoba,BMW,X6,2020,3.0 Xdrive 35i Pure Extravagance,,Nafta,5,Automática,3.0,SUV,118000,,,,Asistida,4x4,4.0,306.0,79000.0
